Name,Ratings,Niche,Address,Timings,Address,Contact no,Website Link,R8c4Qb,Jn12ke src
Maxworth Realty India ltd,4,Real estate agency,"KMP House, 12/2, near Shivananda Circle",· Closes 5 pm,·,088808 44455,http://www.maxworthrealty.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Empire Estates | Furnished Office Space for Rent in Bangalore | Plug and Play Commercial Office Space,4.7,Office space rental agency,"1st Floor, Centre point, No 102, Residency Rd, opposite Najarjuna hotel",· Closes 10 pm,·,098861 20344,http://www.empireestates.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
M4 Estates,4.9,Real estate agent,"No.20/3, Buddha Vihara Rd",· Opens 10:30 am Mon,·,098450 27409,http://www.m4estates.com/,Website,
Reliaable Developers,4.1,Real estate developer,"4th Floor, Reliaable Phoenix Tower, 16 & 16/1, Museum Rd",,·,090719 83737,https://www.netlabsglobal.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Login Realty | Commercial Real Estate Bangalore,4.1,Office space rental agency,"First Floor, Beary’s Horizon, 21, Wood St, off Brigade Road",· Opens 9 am Mon,·,086184 22677,https://www.loginrealty.com/,Website,
Golden Nest Realtors Bangalore,5,Real estate agency,"ground floor,647/1,1st main, 100 Feet Rd, below Muthoot Finance",· Opens 10 am Mon,·,097421 13550,http://www.gnest.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Savills Bengaluru,4.6,Real estate agency,·,· Opens 9 am Mon,"Ground Floor, Prestige Summit, St. Johns Road Ward No. 90",080 6138 0040,http://www.savills.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Sai Sannidhi Real Estate Agency’s,4.4,Real estate agency,"336, shashini residensy",· Closes 9 pm,·,099458 97165,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Home Plus Reality,5,Real estate agent,"First Floor, Rathod Vatika, D-1",· Closes 7 pm,·,090362 99996,http://www.homeplusreality.com/,Website,
GharOffice - Real Estate Portal in India,4.6,Real estate agency,"1585/1 level, 2, 20th Main Rd",· Closes 8 pm,,,https://www.gharoffice.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Housewise,4.5,Property management company,"91springboard, 4th Floor, No 22, Salarpuria Towers-I Industrial Layout, Hosur Rd",,·,084484 40693,https://housewise.in/rental-property-management-services-in-bangalore,Website,
Ahmed Realty,5,Real estate consultant,"201, Prestige Aster, Berlie St",· Closes 8 pm,·,099162 70005,,Directions,
The Fly Estates,5,Real estate consultant,"ground floor, Kareem Towers, Cunningham Rd",· Closes 6:30 pm,·,090199 91257,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Property World,5,Real estate agency,"1st Floor, Sky Walk Building, No 9, Assaye Rd",· Opens 10 am Mon,·,098450 62608,https://propertyworld.net.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Keya - The Urban Forest,4.2,Apartment complex,66 4th Cross Road,· Opens 10 am,,,https://www.google.com/aclk?sa=L&ai=DChsSEwiOi6uemKWSAxWuEIMDHRJsFJQYACICCAEQARoCc2Y&ae=2&aspm=1&co=1&ase=2&gclid=Cj0KCQiA-NHLBhDSARIsAIhe9X1YbNGgiCtPBy5Kz0drFI4Qp1WxwJ16v8OSydMveEf2jRo4xYvQxCQaAkOZEALw_wcB&cid=CAASuwHkaA8C8EM3C-zk07vAJwY1NtAoLLeFaQp72MFUjriCw_O-sKdeFqfIidOvgRe3SjVLvgkW1_lvJ9HaR4cClm1U5YSvuE3LG-Y4ADn1m3YUHqCjsS-QPUznShjamX6QRCopKynUjiLYPzdIy3exhEpuwATNo_FzvRql6w0gpkn2bk5ZM29o794YsitUBHruY3XQRmdM6CwxowtE-3ADvsMsGEbrT5wi9IxQABVD-wJtrZSizdrjiakutdRQ&cce=2&category=acrcp_v1_35&sig=AOD64_03-WoEs2JqgTewYTmjjMpe4PpoJA&adurl&q&ctype=99&nis=6,Website,
Renaissance Reserva,4.6,Apartment complex,near BEL Road,· Opens 10 am,·,088800 90090,https://www.google.com/aclk?sa=L&ai=DChsSEwiOi6uemKWSAxWuEIMDHRJsFJQYACICCAEQABoCc2Y&co=1&ase=2&gclid=Cj0KCQiA-NHLBhDSARIsAIhe9X1-5GzT3X9rtnHSOkOEu49CynY-EE0vhtCv-SpY08qSbbpSHfmVZToaAroQEALw_wcB&cid=CAASuwHkaA8C8EM3C-zk07vAJwY1NtAoLLeFaQp72MFUjriCw_O-sKdeFqfIidOvgRe3SjVLvgkW1_lvJ9HaR4cClm1U5YSvuE3LG-Y4ADn1m3YUHqCjsS-QPUznShjamX6QRCopKynUjiLYPzdIy3exhEpuwATNo_FzvRql6w0gpkn2bk5ZM29o794YsitUBHruY3XQRmdM6CwxowtE-3ADvsMsGEbrT5wi9IxQABVD-wJtrZSizdrjiakutdRQ&cce=2&category=acrcp_v1_32&sig=AOD64_09qSvYOosf0nSwD4ea3YBGMPelSg&adurl&q&ctype=99&nis=6,Website,
Oraiyan Groups,4.8,Real Estate Builders & Construction Company,·,· Closes 6 pm,"old sub Register office, 54, ""Elegant Embassy"", 12th Main Road 27th Cross Road, road, above KVB bank",070262 44255,https://www.oraiyangroups.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
HOUSELIV,5,Real estate agency,"3374, 2nd floor, 80 Feet Road, Land mark- Cake Of The Day, Hosakerehalli Cross Rd, near Kathriguppe Main Road",· Closes 6:30 pm,·,090665 55546,https://houseliv.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Asset Realtors,4.7,Real estate agency,"Concord Plaza, 68/1 2 nd, Coles Rd, opp. to cafe coffee day",· Closes 6:30 pm,·,099808 78626,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Realty Corp,4.9,Real estate agency,"#65, 1st Floor, 1st Cross, 6th Main, Defence Colony, Indiranagar",· Closes 4 pm,·,098860 25027,http://www.realtycorpindia.com/,Website,
"BLR PROPERTIES - Luxury Apartments, Real Estate Agent and Properties Dealer in Kalyan Nagar, Bangalore",5,Property management company,"156, Kammanahalli Main Rd, near SBI",· Closes 8 pm,·,080 2525 2626,https://blr.properties/,Website,
Best Real Estate,4,Real estate agency,"99, 5th Main Rd",· Closes 8 pm,·,098453 54347,,Directions,
fortius Infra Developers,4.5,Industrial real estate agency,"Body Square, 100 Feet Rd",· Closes 10 pm,·,063643 73100,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Assetz Property Group,4.5,Real Estate Builders & Construction Company,·,· Closes 6:30 pm,"30, Crescent Rd",078295 54411,https://www.assetzproperty.com/?utm_source=GMB-Link,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
KNS Metro Properties,4.7,Real Estate Builders & Construction Company,·,· Closes 6 pm,"M floor, Sumo Sapphire building, 738, 15th Cross Rd",081238 57633,https://www.knsmetroproperties.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Channakeshava Enterprise Real Estate Agents,4.9,Real estate agent,·,· Closes 3:30 am,"1, Sir M. Visvesvaraya Rd",098453 22000,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
KIREN POL - North Bengaluru Brokers,4.7,Real estate agent,·,· Closes 5 pm,Prestige Misty Waters,095917 57575,http://bit.ly/kirenpol,Website,
Interlink Realty,4.9,Real estate agency,"56/2 Moore Road, MM Road",· Opens 10 am Mon,·,087222 22663,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Fortius Infra Developers,4.3,Real estate agency,"No. 138, Level Four, Raheja Paramount Residency Road, Richmond Rd",,,080 4946 0000,http://www.fortiusinfra.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Landpe,5,Real estate agency,"#50, Ranoji Rao Rd",· Closes 5 pm,·,093414 16000,http://landpe.com/,Website,
M S Properties By Yogesh T,5,Real estate agency,"b, 79, 9th Main Rd",· Closes 4 pm,·,096865 27503,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Gopalan Enterprises,4.2,Real estate agent,"5, Richmond Rd",· Opens 9:30 am Mon,·,080 4931 4999,https://www.gopalanenterprises.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Nippon Realtors Bangalore,5,Real estate agency,"second floor, 24/1, 100 Feet Rd",· Opens 9:30 am Mon,,,http://www.nipponrealtorsbangalore.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Bearys Group,4.3,Real estate agency,·,· Opens 9 am Mon,"Bearys Horizon 21, 21, Wood St",080 2227 3124,http://www.bearysgroup.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Property Share,4.6,Real estate agency,·,· Opens 9 am Mon,"16th Floor, SKAV Seethalaxmi Building, C-39, Kasturba Rd",080 4711 2111,https://www.propertyshare.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Shree Estates,4.8,Real estate agency,"28, I Main Rd",· Closes 6:30 pm,·,096869 99866,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Keya - The Urban Forest,4.2,Apartment complex,66 4th Cross Road,· Closes 6 pm,,,https://www.google.com/aclk?sa=L&ai=DChsSEwjh76ChpKaSAxWNpWYCHXgrOYIYACICCAEQBBoCc20&ae=2&aspm=1&co=1&ase=2&gclid=Cj0KCQiAm9fLBhCQARIsAJoNOcvMtOkxkS1B3mx0eTK81g828EDAqfweoS6eRac_rpZxgu-xBGXOZHEaAq9ZEALw_wcB&cid=CAASuwHkaJomuCucB2SasKaTuSxipmubfO_jPyFwJ0tGWrCkLEVuJwb7uwcyc8Z4MAlKOnTu_p9xhcEwzopusXdCbt3RvjvEDYmpMLSckuTLLpoZq0FSK6bzxxYaGJkMmik3fprZtd6AX3-gRpvTjfIoV-VYcs28O09RMQomY1TiI8AnU1oIR4PeAlVvGlYOXZzVsKUpVrxObEbXXxTGVBK2x8J2RkUYTgD3MBGx7J9vNxbtxB-0qk1u0NQp7LWy&cce=2&category=acrcp_v1_35&sig=AOD64_0l_ycYJJEoqQ02o7rg7ZkEiW0kdQ&adurl&q&ctype=99&nis=6,Website,
Renaissance Reserva,4.6,Apartment complex,near BEL Road,· Closes 6 pm,·,088800 90090,https://www.google.com/aclk?sa=L&ai=DChsSEwjh76ChpKaSAxWNpWYCHXgrOYIYACICCAEQABoCc20&co=1&ase=2&gclid=Cj0KCQiAm9fLBhCQARIsAJoNOcsI_1TLh0q4_eOES4SnEQcQLYYKbBVBQzrGlg6zlljQTOa_3bCWvU0aAjp2EALw_wcB&cid=CAASuwHkaJomuCucB2SasKaTuSxipmubfO_jPyFwJ0tGWrCkLEVuJwb7uwcyc8Z4MAlKOnTu_p9xhcEwzopusXdCbt3RvjvEDYmpMLSckuTLLpoZq0FSK6bzxxYaGJkMmik3fprZtd6AX3-gRpvTjfIoV-VYcs28O09RMQomY1TiI8AnU1oIR4PeAlVvGlYOXZzVsKUpVrxObEbXXxTGVBK2x8J2RkUYTgD3MBGx7J9vNxbtxB-0qk1u0NQp7LWy&cce=2&category=acrcp_v1_32&sig=AOD64_1hj1T5q8uIInD41wlPW1sxFy0UXw&adurl&q&ctype=99&nis=6,Website,
Space Click,4.5,Real estate agency,"Mantri House, #41, Vittal Mallya Rd",· Closes 7 pm,·,076409 99111,http://spaceclick.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Star Estate,4.4,Industrial real estate agency,"3rd Floor, Building No, 451, 17th Cross Rd, above Cafe Coffee Day",· Closes 6:30 am Mon,,,https://www.starestate.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
ICONHOMZ - Leading Real Estate Builders and Developers in Bangalore,4.4,Real Estate Builders & Construction Company,"Jai Plaza Symphony, 47/9, 9th Main",· Closes 6:30 pm,·,083101 81471,http://www.iconhomz.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Best Real Estate Agency,5,Real estate agency,,,,,,Directions,
MK REAL-ESTATE & MARKETING,4.5,Real estate agent,"OCR Complex, 55/2, Post, nearby Sakra World Hospital",· Closes 9 pm,·,081058 89593,http://mkcribs.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Desirenest Properties Private Limited,4.9,Real estate consultant,"5th Floor, Aditya Arcade, 63/13, Kanakapura Main Rd",· Closes 10 pm,·,099450 78961,https://desirenest.com/,Website,
DS MAX Properties Pvt.Ltd,4.2,Real estate developer,·,· Closes 7 pm,"H.NO 5th, Block 1797, 14th Main Rd",088800 01001,https://www.dsmaxproperties.com/,Website,
Quick Max-Real Estate,5,Retail space rental agency,"455, 9th cross, Post",· Closes 9:30 pm,,,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
SS Realtors,5,Real estate agency,"106, Ground Floor, 16th Cross, 19th C Main Rd",· Closes 8 pm,·,098457 60178,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Cityinfo Services Private Limited,4.3,Office space rental agency,"Ground Floor, Aurbis Concord, 10, Richmond Rd",· Opens 9 am Mon,·,080 4411 0000,https://cityinfoservices.com/,Website,
Sagar Real Estate Agency,4.4,Real estate rental agency,"1004, 4th Main Rd",· Closes 6 pm,·,099027 56786,https://sites.google.com/view/sagarrealestateagency,Website,
Address Advisors,4.8,Real estate consultant,"The Work Address- Sindhu 1st Floor | 6, 7th main, 80 Feet Rd",· Closes 6:30 pm,·,087929 26457,http://addressadvisors.com/,Website,
HTR PROPERTIES,4.7,Real estate agency,"1294, 1st Floor, 7th Main Rd",· Opens 9:30 am Mon,·,098866 61254,,Directions,
ADVP Business Ventures Private Limited - Bangalore,4.8,Real estate consultant,"1st Floor, Gold Towers, 72 - 73, Residency Rd",· Opens 10 am Mon,·,073535 18282,http://advpbusinessventures.com/,Website,
Keys On Rent: Property Management Company,4.4,Property management company,"HSR, club road, 4th Floor, 1211, Venella Building, 22nd Cross Rd",· Closes 6 pm,·,063632 17801,http://www.keysonrent.com/,Website,
Propline Realty Services Pvt Ltd,4.5,Industrial real estate agency,"1st Floor, Platinum Plaza The Jwellers Association Building, 26th A Main Rd",· Closes 8 pm,·,096200 47666,https://proplinerealty.com/,Website,
MH Properties,5,Real estate developer,"24, Grant Road, Lavelle Road",,,,https://www.mhproperties.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Crazy Assets,5,Real estate consultant,"2nd Floor, 198, Chinmaya Mission Hospital Rd",· Closes 5 pm,,,https://www.crazyassets.com/,Website,
Nava Nakshatra Homes Private Limited,4.6,Real Estate Builders & Construction Company,"1st floor, 1697/36, Dr Rajkumar Rd, near ICICI Bank",· Closes 6 pm,·,098808 65041,https://nnhomes.in/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Erayaa Builders & Developers,4.4,Real estate developer,Sona Tower,· Opens 9:30 am Mon,·,079965 99799,http://erayaa.in/,Website,