Business Name,Address,Rating,Reviews,Business Type,Website,Phone,Google Maps Link
The Bangalore Cafe,,,,,,,https://www.google.com/maps/place/The+Bangalore+Cafe/data=!4m7!3m6!1s0x3bae155f99494ba3:0x33f4caf3caaef5d2!8m2!3d12.9615596!4d77.5946966!16s%2Fg%2F11fgm5s311!19sChIJo0tJmV8VrjsR0vWuyvPK9DM?authuser=0&hl=en&rclk=1
PHURR | Jayanagar,,,,,,,https://www.google.com/maps/place/PHURR+%7C+Jayanagar/data=!4m7!3m6!1s0x3bae1500173b97d3:0x4efc04f1bf48c7e8!8m2!3d12.9327445!4d77.5831381!16s%2Fg%2F11y24rp3sg!19sChIJ05c7FwAVrjsR6MdIv_EE_E4?authuser=0&hl=en&rclk=1
"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru",,,,,,,"https://www.google.com/maps/place/Lotus+Pavilion,+ITC+Gardenia+-+Restaurants+In+Bengaluru/data=!4m7!3m6!1s0x3bae16762b09415b:0xefcb055d45fdada5!8m2!3d12.9670001!4d77.5957737!16s%2Fg%2F11c2q5f46m!19sChIJW0EJK3YWrjsRpa39RV0Fy-8?authuser=0&hl=en&rclk=1"
Fenny's Lounge & Kitchen,,,,,,,https://www.google.com/maps/place/Fenny%27s+Lounge+%26+Kitchen/data=!4m7!3m6!1s0x3bae144de1f6c26b:0x4c3ec295baf9738!8m2!3d12.9352148!4d77.6134976!16s%2Fg%2F11_q5nd1c!19sChIJa8L24U0UrjsROJevWynswwQ?authuser=0&hl=en&rclk=1
The Bengaluru Brasserie,,,,,,,https://www.google.com/maps/place/The+Bengaluru+Brasserie/data=!4m7!3m6!1s0x3bae17888933556d:0xa547d803dcc6bf2f!8m2!3d12.9732524!4d77.6219057!16s%2Fg%2F11ghtfcgtd!19sChIJbVUziYgXrjsRL7_G3APYR6U?authuser=0&hl=en&rclk=1
Al Makkah Restaurant,,,,,,,https://www.google.com/maps/place/Al+Makkah+Restaurant/data=!4m7!3m6!1s0x3bae151b2c9bef17:0xc96e04108805ee1e!8m2!3d12.9210147!4d77.6005003!16s%2Fg%2F11r1hhbq0m!19sChIJF--bLBsVrjsRHu4FiBAEbsk?authuser=0&hl=en&rclk=1
Spice Terrace,,,,,,,https://www.google.com/maps/place/Spice+Terrace/data=!4m7!3m6!1s0x3bae16774816fe73:0x9fb3e6f0eb4107ef!8m2!3d12.9721442!4d77.594923!16s%2Fg%2F1z44bkl0g!19sChIJc_4WSHcWrjsR7wdB6_Dms58?authuser=0&hl=en&rclk=1
Castle Multi Cuisine Restaurant,,,,,,,https://www.google.com/maps/place/Castle+Multi+Cuisine+Restaurant/data=!4m7!3m6!1s0x3bae15b65bce4843:0x5c372af0696e6537!8m2!3d12.922634!4d77.6144012!16s%2Fg%2F11t6lhd7kf!19sChIJQ0jOW7YVrjsRN2VuafAqN1w?authuser=0&hl=en&rclk=1
"AB's - Absolute Barbecues | BTM Layout, Bangalore",,,,,,,"https://www.google.com/maps/place/AB%27s+-+Absolute+Barbecues+%7C+BTM+Layout,+Bangalore/data=!4m7!3m6!1s0x3bae1503d4f6a7ab:0x845dde028247573b!8m2!3d12.9163901!4d77.6046786!16s%2Fg%2F11c3sr6jlt!19sChIJq6f21AMVrjsRO1dHggLeXYQ?authuser=0&hl=en&rclk=1"
Taaza Thindi,,,,,,,https://www.google.com/maps/place/Taaza+Thindi/data=!4m7!3m6!1s0x3bae15a776da381b:0x5948b61bc4c0140a!8m2!3d12.922821!4d77.5932583!16s%2Fg%2F11b6vgdgpj!19sChIJGzjadqcVrjsRChTAxBu2SFk?authuser=0&hl=en&rclk=1
Nagarjuna Restaurant - Bannerghatta Road,,,,,,,https://www.google.com/maps/place/Nagarjuna+Restaurant+-+Bannerghatta+Road/data=!4m7!3m6!1s0x3bae1519511aa863:0x46395c4ec10a021e!8m2!3d12.9049026!4d77.6015639!16s%2Fg%2F11b6gf43yv!19sChIJY6gaURkVrjsRHgIKwU5cOUY?authuser=0&hl=en&rclk=1
Maya Bangalore,,,,,,,https://www.google.com/maps/place/Maya+Bangalore/data=!4m7!3m6!1s0x3bae15d602486971:0x426082fddf9d504f!8m2!3d12.9220714!4d77.584662!16s%2Fg%2F11p5s974sy!19sChIJcWlIAtYVrjsRT1Cd3_2CYEI?authuser=0&hl=en&rclk=1
Olive Beach,,,,,,,https://www.google.com/maps/place/Olive+Beach/data=!4m7!3m6!1s0x3bae142aad557cd3:0xe6e1a61c52c08c7d!8m2!3d12.966892!4d77.6080844!16s%2Fg%2F1tdk__ng!19sChIJ03xVrSoUrjsRfYzAUhym4eY?authuser=0&hl=en&rclk=1
"Gufha Restaurant, Jayanagar",,,,,,,"https://www.google.com/maps/place/Gufha+Restaurant,+Jayanagar/data=!4m7!3m6!1s0x3bae15978cee63b5:0xf5242b3ae97a2840!8m2!3d12.9332361!4d77.5832972!16s%2Fg%2F1pv043_9d!19sChIJtWPujJcVrjsRQCh66TorJPU?authuser=0&hl=en&rclk=1"
"Karavalli - Vivanta Bengaluru, Residency Road",,,,,,,"https://www.google.com/maps/place/Karavalli+-+Vivanta+Bengaluru,+Residency+Road/data=!4m7!3m6!1s0x3bae167e46fb00e5:0x777b03419880fc1f!8m2!3d12.9724473!4d77.6086535!16s%2Fg%2F11b75nr421!19sChIJ5QD7Rn4WrjsRH_yAmEEDe3c?authuser=0&hl=en&rclk=1"
Sultans of Spice,,,,,,,https://www.google.com/maps/place/Sultans+of+Spice/data=!4m7!3m6!1s0x3bae1451c35fd215:0x7e1fd3235530f129!8m2!3d12.9335512!4d77.6151958!16s%2Fg%2F1vyn2980!19sChIJFdJfw1EUrjsRKfEwVSPTH34?authuser=0&hl=en&rclk=1
Musaaz,,,,,,,https://www.google.com/maps/place/Musaaz/data=!4m7!3m6!1s0x3bae151d8a00fe07:0xbf2b7b095a1a07bd!8m2!3d12.9198933!4d77.6001947!16s%2Fg%2F11mcw5dy6z!19sChIJB_4Aih0VrjsRvQcaWgl7K78?authuser=0&hl=en&rclk=1
The Reservoire Koramangala,,,,,,,https://www.google.com/maps/place/The+Reservoire+Koramangala/data=!4m7!3m6!1s0x3bae145b2129761f:0x37f6b789d4c61c24!8m2!3d12.9334087!4d77.6222176!16s%2Fg%2F11f3jbwz28!19sChIJH3YpIVsUrjsRJBzG1Im39jc?authuser=0&hl=en&rclk=1
CHAMPAK - Champaran | The best North Indian restaurant in Bangalore,,,,,,,https://www.google.com/maps/place/CHAMPAK+-+Champaran+%7C+The+best+North+Indian+restaurant+in+Bangalore/data=!4m7!3m6!1s0x3bae150743e722c3:0x8b82422d8914fd32!8m2!3d12.9369594!4d77.6245988!16s%2Fg%2F11l59x1br1!19sChIJwyLnQwcVrjsRMv0UiS1Cgos?authuser=0&hl=en&rclk=1
Kohinoor Rooftop Indian Restaurant,,,,,,,https://www.google.com/maps/place/Kohinoor+Rooftop+Indian+Restaurant/data=!4m7!3m6!1s0x3bae17bd0de0aa03:0xf9bc7313bc305c82!8m2!3d12.969146!4d77.600127!16s%2Fg%2F11vs_wpks_!19sChIJA6rgDb0XrjsRglwwvBNzvPk?authuser=0&hl=en&rclk=1